9.476E-4	9.123E-8
1.655E-2	1.196E-7
7.305E-2	2.151E-7
8.375E-2	2.325E-7
1.019E-1	2.620E-7
1.320E-1	3.284E-7
1.527E-1	3.685E-7
1.771E-1	4.186E-7
2.116E-1	4.919E-7
2.580E-1	5.884E-7
2.813E-1	6.364E-7
3.045E-1	6.775E-7
3.282E-1	7.186E-7
3.521E-1	7.555E-7
4.342E-1	9.099E-7
4.480E-1	9.407E-7
5.314E-1	1.112E-6
5.835E-1	1.204E-6
5.973E-1	1.243E-6
6.192E-1	1.278E-6
6.256E-1	1.339E-6
6.463E-1	1.376E-6
6.652E-1	1.421E-6
6.795E-1	1.444E-6
6.959E-1	1.499E-6
7.321E-1	1.579E-6
7.435E-1	1.606E-6
7.554E-1	1.620E-6
7.572E-1	1.591E-6
7.655E-1	1.597E-6
7.862E-1	1.635E-6
8.063E-1	1.687E-6
8.306E-1	1.746E-6
8.776E-1	1.867E-6
9.197E-1	1.977E-6
9.455E-1	2.038E-6
3.654E-1	8.279E-7
4.072E-1	9.090E-7
4.881E-1	1.065E-6
4.556E-1	9.824E-7
4.782E-1	1.016E-6
5.114E-1	1.087E-6
5.384E-1	1.122E-6
5.585E-1	1.171E-6
